recinto,dia,hora_inicio,hora_fin,entidad,monitor_detalle,espacio_sugerido,tipo_sugerido
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,09:00,10:00,Club Iteria Patinaje,Monitora : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,10:00,11:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,10:00,11:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,10:00,11:00,Escuela E-1 (09:45 A 11:15),,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,10:00,11:00,Newcom Club Natales,Monitora: Eva Contreras,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,10:00,11:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,10:00,11:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,10:00,11:00,Club Iteria Patinaje,Monitora : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,11:00,12:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Martes,11:00,12:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,11:00,12:00,Escuela E-1 (09:45 A 11:15),,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,11:00,12:00,Newcom Club Natales,Monitora: Eva Contreras,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,11:00,12:00,Circo Aereo,Monitora: Gabriela Ugarte,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,11:00,12:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,11:00,12:00,Club Iteria Patinaje,Monitora : Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,12:00,13:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,12:00,13:00,Voleibol Jovenes Club Bories,Monitor: Leandro Gallardo,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,13:00,14:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,13:00,14:00,Voleibol Jovenes Club Bories,Monitor: Leandro Gallardo,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,14:00,15:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,14:00,15:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,14:00,15:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,14:00,15:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Domingo,14:00,15:00,Voleibol Club Deportivo Mineros,Monitor: Daniel Ojeda Adultas Damas,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Lunes,15:00,16:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Miércoles,15:00,16:00,Club De Patinaje Natales Sobre Ruedas,Monitora,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Jueves,15:00,16:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Viernes,15:00,16:00,Patinaje Club Iteria,Monitora:Paola Gomez,,
Programas O Proyectos Deportivos Sala De Uso Multiple I 2025,Sábado,15:00,16:00,Club De Patinaje Natales Sobre Ruedas,Monitora:,,
